City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed
Beijing,China,2023-03-08,145.29,77.24,35.86,15.97,1.38,22.04,18.29,17.55,11.23
Beijing,China,2023-12-26,120.43,69.25,21.7,48.61,2.4,194.44,-0.37,99.51,0.99
Beijing,China,2023-03-03,11.25,186.21,85.99,30.2,3.95,115.96,27.97,32.92,10.9
Beijing,China,2023-02-19,106.9,61.44,24.54,26.72,6.6,89.6,39.3,97.69,15.64
Beijing,China,2023-06-03,145.53,70.58,23.58,17.06,8.37,71.28,-6.58,60.84,15.22
Beijing,China,2023-05-26,43.62,110.64,51.14,31.59,4.45,108.34,-9.41,72.97,5.28
Beijing,China,2023-03-23,20.69,29.89,97.22,18.86,9.5,17.6,-4.66,41.65,8.12
Beijing,China,2023-09-17,7.9,132.37,83.21,12.83,2.39,52.86,33.59,22.57,3.88
Beijing,China,2023-04-14,118.17,119.83,29.1,19.36,8.61,148.88,18.96,76.07,15.08
Beijing,China,2023-09-12,48.3,29.42,65.82,41.71,8.07,197.54,24.04,77.41,8.07
Beijing,China,2023-03-02,90.97,108.06,65.82,39.49,2.03,69.47,8.82,93.17,16.53
Beijing,China,2023-01-05,13.34,118.92,22.1,8.88,4.96,147.36,1.76,84.42,17.39
Beijing,China,2023-08-19,57.78,151.9,78.37,10.33,5.11,148.66,-8.6,97.94,5.95
Beijing,China,2023-08-28,42.39,84.15,24.82,45.99,0.41,61.13,9.72,78.62,19.0
Beijing,China,2023-09-25,125.29,141.5,10.9,44.08,6.74,182.6,32.03,48.83,12.94
Beijing,China,2023-11-26,143.44,128.04,80.84,27.83,8.69,112.14,16.0,42.38,4.94
Beijing,China,2023-03-21,28.79,134.75,96.23,12.66,2.82,160.89,29.43,94.1,8.39
Beijing,China,2023-08-17,62.59,38.76,41.47,23.96,1.24,188.31,32.86,74.29,7.87
Beijing,China,2023-02-17,49.6,150.55,31.48,11.35,9.82,167.14,19.45,76.22,8.31
Beijing,China,2023-10-25,26.59,93.29,40.64,29.99,2.93,27.33,25.06,69.84,16.85
Beijing,China,2023-09-05,136.64,98.21,12.67,25.9,9.08,67.5,39.23,77.13,12.31
Beijing,China,2023-05-06,121.04,158.39,54.63,22.38,3.91,128.95,8.87,86.76,17.11
Beijing,China,2023-06-11,101.2,18.57,77.38,20.31,4.12,160.74,-0.9,20.06,4.92
Beijing,China,2023-01-10,136.53,165.29,95.6,7.14,1.44,84.3,5.45,22.29,16.23
Beijing,China,2023-07-18,69.68,78.68,44.83,16.31,0.55,177.91,27.31,50.14,5.49
Beijing,China,2023-05-25,64.58,185.77,33.02,14.06,8.38,164.27,-9.66,78.67,14.38
Beijing,China,2023-12-15,73.19,176.01,16.88,27.45,8.86,198.6,-9.34,15.85,18.36
Beijing,China,2023-08-12,111.92,32.08,7.95,37.45,9.43,45.77,23.68,30.31,5.91
Beijing,China,2023-07-21,137.08,18.38,82.02,45.91,0.56,72.73,29.03,89.8,6.95
Beijing,China,2023-09-14,37.42,38.77,45.95,8.88,1.66,191.66,27.1,58.12,3.36
Beijing,China,2023-09-24,100.11,96.99,74.25,3.54,1.8,11.99,-3.72,94.41,14.59
Beijing,China,2023-04-25,27.25,191.23,92.5,24.51,2.9,106.45,11.96,41.46,14.8
Beijing,China,2023-01-23,88.12,123.9,5.43,16.89,3.92,196.08,-0.87,16.6,12.65
Beijing,China,2023-04-01,118.37,142.9,21.36,48.53,5.05,56.47,28.23,70.48,12.47
Beijing,China,2023-08-23,65.22,165.52,90.11,1.07,7.11,59.75,22.79,61.78,11.72
Beijing,China,2023-12-26,121.03,168.42,91.79,2.47,8.47,194.06,4.63,89.55,5.15
Beijing,China,2023-08-18,82.34,181.61,7.07,1.34,1.26,30.17,10.19,48.2,16.46
Beijing,China,2023-03-11,130.07,62.73,82.35,28.29,0.54,145.24,7.16,70.34,18.38
Beijing,China,2023-06-13,5.1,64.79,68.51,13.84,3.99,14.22,7.68,79.52,4.73
Beijing,China,2023-03-08,109.05,156.42,99.45,31.74,7.08,166.16,20.89,75.21,16.65
Beijing,China,2023-11-25,27.4,31.68,76.65,16.56,4.42,97.29,18.88,11.19,6.44
Beijing,China,2023-02-03,149.98,167.32,41.87,35.3,1.23,105.26,37.39,82.89,2.45
Beijing,China,2023-09-19,136.49,35.55,17.11,38.95,9.21,78.37,-7.85,48.81,16.06
Beijing,China,2023-07-22,134.07,131.17,31.59,24.36,2.94,34.95,5.03,98.78,14.56
Beijing,China,2023-04-23,72.93,80.3,46.52,25.89,0.44,66.23,18.82,70.11,3.08
Beijing,China,2023-03-03,27.12,198.92,19.43,41.53,0.13,124.96,-8.98,59.97,6.63
Beijing,China,2023-01-11,61.01,127.25,5.51,42.33,1.9,114.04,29.97,56.14,1.62
Beijing,China,2023-06-15,87.71,40.46,76.88,10.31,1.46,104.89,32.38,77.74,15.44
Beijing,China,2023-01-22,33.44,57.52,10.02,4.7,6.25,36.45,-6.01,75.57,18.81
Beijing,China,2023-02-01,100.75,29.09,15.08,28.43,2.57,59.57,32.25,66.72,2.64
Beijing,China,2023-11-13,21.41,119.64,89.05,25.73,6.5,49.25,33.13,77.53,16.12
Beijing,China,2023-02-19,5.21,164.0,52.87,33.92,5.67,103.59,19.65,75.95,13.7
Beijing,China,2023-02-03,10.02,59.16,7.36,5.58,7.85,157.03,12.6,58.89,3.23
Beijing,China,2023-03-09,34.46,126.12,97.69,39.1,0.87,115.74,11.3,83.17,8.65
Beijing,China,2023-05-21,141.3,88.49,44.32,6.77,5.57,90.53,-9.98,12.27,10.31
Beijing,China,2023-02-04,93.67,41.8,55.27,34.08,6.59,162.34,-2.02,43.73,6.36
Beijing,China,2023-12-24,50.7,195.63,26.25,20.8,4.65,130.1,-6.44,25.45,16.85
Beijing,China,2023-01-10,87.52,66.87,79.39,1.89,0.86,195.81,30.79,15.77,8.75
Beijing,China,2023-01-03,134.74,28.02,82.44,42.1,2.16,16.92,-2.59,75.92,2.71
Beijing,China,2023-01-02,46.74,110.97,74.84,30.49,7.37,34.36,9.49,55.72,4.38
Beijing,China,2023-02-28,71.58,15.12,40.39,5.92,3.41,24.12,22.74,38.66,9.35
Beijing,China,2023-12-26,128.85,109.46,50.8,3.38,9.99,14.97,6.5,60.34,8.79
Beijing,China,2023-10-01,25.39,175.33,52.28,31.79,4.87,137.92,-1.82,85.89,10.48
Beijing,China,2023-03-24,92.49,54.55,84.05,6.11,5.7,53.29,3.99,71.64,16.72
Beijing,China,2023-04-18,87.82,160.76,79.59,13.03,3.85,180.3,36.25,53.85,3.72
Beijing,China,2023-03-22,5.59,68.46,76.04,13.87,0.86,39.06,11.52,94.46,16.58
Beijing,China,2023-01-21,54.56,178.83,90.13,12.38,6.63,57.54,2.36,70.33,6.48
Beijing,China,2023-01-24,26.56,56.8,70.87,15.83,4.16,153.04,22.57,71.65,6.65
Beijing,China,2023-01-04,97.32,147.52,47.68,4.26,5.06,10.6,-4.69,37.66,15.11
Beijing,China,2023-04-09,103.22,161.99,75.97,14.71,2.51,83.88,-4.04,32.79,13.97
Beijing,China,2023-08-15,50.15,17.52,72.73,38.79,7.97,151.54,11.53,33.78,6.84
Beijing,China,2023-04-11,78.79,73.03,7.21,10.51,6.4,28.75,-0.62,78.42,4.77
Beijing,China,2023-02-27,24.55,155.19,89.46,10.48,9.85,27.49,5.99,30.63,16.01
Beijing,China,2023-09-24,84.21,24.56,53.39,42.37,0.29,30.01,36.22,51.57,16.57
Beijing,China,2023-04-19,147.89,170.4,17.68,10.39,3.86,104.94,8.64,22.86,0.52
Beijing,China,2023-01-22,127.72,93.57,7.73,49.79,6.86,35.57,18.98,56.37,2.51
Beijing,China,2023-09-15,60.59,64.89,61.48,47.76,8.24,85.85,19.18,66.76,7.65
Beijing,China,2023-05-13,113.67,48.71,30.3,23.36,3.28,78.65,4.88,31.5,5.02
Beijing,China,2023-06-17,141.49,24.24,29.46,42.21,9.44,144.07,20.37,35.91,16.74
Beijing,China,2023-04-12,148.01,136.52,11.05,32.75,7.75,137.19,24.52,19.15,2.77
Beijing,China,2023-12-04,50.95,17.77,85.59,45.51,3.26,154.95,27.9,54.61,1.96
Beijing,China,2023-02-23,142.22,55.95,59.76,22.53,6.31,137.44,-7.71,75.38,6.84
Beijing,China,2023-11-05,106.12,199.11,53.41,13.94,6.47,185.16,39.81,64.55,2.73
Beijing,China,2023-03-19,93.45,129.66,88.94,42.65,9.16,168.72,38.77,72.81,3.89
Beijing,China,2023-07-02,85.13,186.88,77.23,9.28,8.08,92.02,1.5,86.56,19.8
Beijing,China,2023-04-05,69.88,141.11,45.41,49.7,8.91,147.39,25.79,90.0,15.24
Beijing,China,2023-08-27,37.82,173.62,40.96,37.58,6.75,97.05,5.18,76.13,16.15
Beijing,China,2023-11-14,103.15,49.45,95.91,7.98,5.65,74.28,-1.41,56.25,18.83
Beijing,China,2023-09-28,32.17,163.67,77.04,30.21,4.2,109.99,21.9,38.69,9.34
Beijing,China,2023-01-07,56.65,125.71,33.05,22.38,6.81,118.99,35.71,59.37,17.55
Beijing,China,2023-08-22,77.54,189.36,25.26,38.07,3.14,35.6,-6.2,30.56,19.67
Beijing,China,2023-08-25,123.2,198.15,32.03,20.29,7.33,124.5,8.39,45.6,8.41
Beijing,China,2023-04-23,115.3,83.73,72.25,13.55,8.41,59.56,-3.57,35.06,9.61
Beijing,China,2023-07-10,141.42,111.56,68.99,5.51,2.42,117.08,31.51,60.09,2.89
Beijing,China,2023-07-21,136.01,151.07,36.61,24.66,0.56,155.69,20.15,99.48,9.67
Beijing,China,2023-07-05,134.89,180.62,53.77,46.04,5.4,11.6,34.78,75.82,13.62
Beijing,China,2023-10-11,104.31,19.75,87.85,9.41,6.41,12.91,-1.79,71.5,14.9
Beijing,China,2023-01-07,27.28,44.77,86.08,45.66,7.73,71.36,5.19,10.57,0.5
Beijing,China,2023-11-17,149.23,135.44,37.68,42.83,2.55,124.81,31.56,99.46,8.59
Beijing,China,2023-08-18,147.46,30.76,28.35,35.68,3.98,116.66,32.26,91.88,14.45
Beijing,China,2023-03-14,95.37,146.18,8.78,39.21,2.11,153.38,30.6,80.52,19.81
Beijing,China,2023-07-07,49.37,87.2,88.01,17.97,3.45,116.14,13.27,46.12,10.47
Beijing,China,2023-09-12,120.46,82.61,29.98,5.28,4.71,47.56,-3.33,31.34,11.63
Beijing,China,2023-06-07,92.19,10.76,79.4,10.14,8.44,147.44,4.79,29.47,3.17
Beijing,China,2023-12-04,110.2,165.38,51.62,21.3,6.76,17.57,24.1,64.45,18.86
Beijing,China,2023-06-24,110.41,113.79,18.41,9.52,9.05,78.58,27.71,65.17,12.68
Beijing,China,2023-11-06,101.59,41.27,45.6,19.84,4.02,88.82,7.32,36.5,6.36
Beijing,China,2023-07-22,9.46,122.43,92.52,15.93,0.73,151.01,12.25,90.4,2.06
Beijing,China,2023-05-22,31.44,55.8,69.49,3.55,5.62,14.78,22.3,80.32,19.81
Beijing,China,2023-10-18,115.13,60.18,75.73,13.32,4.69,63.08,18.95,54.62,17.63
Beijing,China,2023-02-21,5.88,197.15,48.73,7.36,4.73,40.7,-7.33,81.48,1.12
Beijing,China,2023-04-24,98.48,138.47,68.05,10.16,8.75,96.47,-6.76,16.44,7.19
Beijing,China,2023-04-27,96.28,93.44,82.25,45.33,8.41,45.52,37.93,95.65,11.71
Beijing,China,2023-11-26,73.39,98.95,22.17,10.06,4.95,187.07,38.63,54.27,1.19
Beijing,China,2023-06-16,93.9,39.93,41.25,43.2,1.15,104.89,-0.24,54.28,10.21
Beijing,China,2023-06-13,33.91,144.3,14.19,14.03,8.04,34.14,-3.54,76.14,15.03
Beijing,China,2023-06-02,120.37,196.69,43.09,10.85,0.8,71.01,-2.58,63.72,14.6
Beijing,China,2023-08-18,20.06,125.64,74.93,1.33,2.56,154.96,-8.63,30.09,4.02
Beijing,China,2023-03-09,75.39,15.92,22.25,42.8,3.84,81.03,31.78,13.24,1.91
Beijing,China,2023-01-18,125.67,140.64,31.27,32.73,4.08,67.08,17.38,88.88,19.85
Beijing,China,2023-09-08,52.5,41.44,25.0,2.97,0.17,124.71,14.0,99.89,15.54
Beijing,China,2023-02-06,111.69,125.68,5.63,43.1,0.88,168.17,0.92,86.15,13.7
Beijing,China,2023-10-13,111.19,170.93,38.6,11.96,8.17,160.75,-9.76,28.21,11.15
Beijing,China,2023-05-21,45.87,187.48,97.1,34.64,4.06,146.86,-1.64,58.6,8.1
Beijing,China,2023-11-09,95.23,128.93,65.27,30.16,9.35,161.75,11.86,56.82,13.15
Beijing,China,2023-09-06,134.05,37.07,84.85,3.37,4.51,180.24,8.48,50.15,4.62
Beijing,China,2023-09-21,117.4,71.83,40.21,10.79,0.48,163.71,22.88,96.68,9.46
Beijing,China,2023-07-26,106.69,18.72,27.52,39.9,5.26,107.2,-5.2,75.07,16.94
Beijing,China,2023-12-15,104.22,98.29,78.12,18.64,0.89,58.56,-6.85,76.91,8.94
Beijing,China,2023-02-04,137.68,152.02,82.59,23.35,8.18,88.67,28.54,25.56,3.69
Beijing,China,2023-06-13,125.59,41.65,95.88,5.63,8.31,79.93,21.33,93.52,5.64
Beijing,China,2023-08-20,33.32,154.61,79.84,30.0,5.67,103.74,2.47,97.97,14.53
Beijing,China,2023-11-28,128.22,198.59,11.84,41.38,6.53,31.51,37.01,43.78,13.22
Beijing,China,2023-05-17,139.85,20.47,57.11,3.48,0.11,10.44,35.57,83.26,12.38
Beijing,China,2023-12-24,129.82,20.06,14.21,2.81,4.42,166.56,24.32,13.55,3.27
Beijing,China,2023-03-11,104.29,24.15,85.88,27.77,3.56,190.13,12.36,52.8,5.78
Beijing,China,2023-08-04,95.15,62.22,43.96,28.42,7.16,118.34,23.45,15.0,18.37
Beijing,China,2023-07-17,104.15,138.82,57.59,4.42,6.27,34.16,0.78,63.09,11.35
Beijing,China,2023-01-02,78.25,60.7,29.61,40.18,6.21,31.13,16.71,45.8,17.84
Beijing,China,2023-11-27,14.57,112.59,9.5,49.89,4.6,154.25,6.87,56.03,8.3
Beijing,China,2023-10-14,63.68,169.86,50.68,28.33,3.03,193.65,29.54,14.17,5.88
Beijing,China,2023-08-09,8.62,30.91,22.74,47.2,5.63,191.93,0.23,50.21,1.2
Beijing,China,2023-07-19,40.21,191.88,56.22,31.96,0.46,124.45,39.74,91.9,13.2
Beijing,China,2023-01-08,129.95,31.23,89.5,9.9,5.21,87.61,27.74,25.15,5.46
Beijing,China,2023-05-25,132.42,24.47,90.59,46.22,4.09,146.61,16.63,47.01,17.65
Beijing,China,2023-07-07,130.48,121.54,8.85,4.72,9.51,197.52,3.92,41.61,5.33
Beijing,China,2023-05-22,49.19,102.04,32.11,23.16,2.1,81.77,6.19,73.67,8.15
Beijing,China,2023-03-22,57.4,130.76,53.89,47.41,7.15,45.64,-9.78,32.85,12.56
Beijing,China,2023-07-16,37.2,158.12,28.72,4.13,0.99,198.11,24.86,62.17,15.41
Beijing,China,2023-03-16,71.53,128.01,89.12,24.75,5.26,121.63,29.01,11.91,15.77
Beijing,China,2023-04-22,16.73,161.68,22.0,45.17,9.74,32.07,39.88,68.59,11.25
Beijing,China,2023-01-23,64.74,188.33,47.89,49.94,3.88,20.18,10.55,26.46,3.43
Beijing,China,2023-09-27,54.37,17.96,54.57,23.38,6.65,76.8,-3.64,48.96,1.19
Beijing,China,2023-02-19,60.16,39.97,72.11,2.03,4.1,39.8,-4.52,35.59,1.36
Beijing,China,2023-09-25,34.96,41.92,72.54,28.37,3.41,14.39,10.34,82.23,8.67
Beijing,China,2023-06-18,148.76,137.43,40.56,41.51,9.17,184.71,-3.02,12.29,9.21
Beijing,China,2023-02-27,100.48,71.67,61.77,30.43,9.94,39.51,21.66,43.32,2.18
Beijing,China,2023-06-22,98.06,14.48,89.82,30.02,2.68,46.05,-5.98,14.24,15.86
Beijing,China,2023-05-26,34.8,64.95,12.19,36.87,4.89,60.53,-4.13,38.76,17.02
Beijing,China,2023-09-07,80.03,36.26,54.0,21.31,7.12,108.62,30.71,24.44,11.69
Beijing,China,2023-02-25,61.19,23.94,53.84,8.87,9.15,175.31,33.11,37.55,3.7
Beijing,China,2023-10-21,56.16,100.72,21.74,49.5,4.95,120.56,2.85,75.45,13.56
Beijing,China,2023-03-03,103.77,17.14,99.82,36.29,5.77,31.65,28.39,17.41,2.92
Beijing,China,2023-03-07,100.19,10.16,74.82,39.88,6.81,176.9,32.85,17.65,9.53
Beijing,China,2023-05-03,82.64,35.54,24.02,38.19,4.92,129.3,19.59,27.7,2.97
Beijing,China,2023-01-08,93.43,19.28,48.08,42.72,4.48,14.95,34.06,89.15,17.3
Beijing,China,2023-12-09,114.81,47.15,22.32,12.5,9.04,84.67,6.87,32.55,14.48
Beijing,China,2023-05-10,7.3,76.03,18.7,32.45,6.58,64.88,20.72,64.77,16.95
Beijing,China,2023-02-07,48.88,74.2,96.65,25.64,5.85,130.48,28.61,68.65,16.74
Beijing,China,2023-01-24,36.78,160.38,74.85,13.56,0.85,194.34,26.97,40.72,19.67
Beijing,China,2023-11-05,91.74,26.01,15.82,8.86,3.33,107.98,18.38,53.52,17.88
Beijing,China,2023-08-21,148.05,35.6,67.35,26.85,2.04,117.07,-8.42,33.86,17.43
Beijing,China,2023-11-09,63.75,101.1,7.69,27.15,9.69,90.32,-8.63,23.43,5.48
Beijing,China,2023-06-01,55.52,88.06,33.28,26.34,0.62,42.09,0.56,70.82,12.23
Beijing,China,2023-05-20,9.67,131.9,74.23,19.12,2.72,97.08,0.78,66.85,1.49
Beijing,China,2023-03-24,93.88,157.66,70.44,36.4,8.35,172.39,-4.15,66.09,18.61
Beijing,China,2023-03-19,114.15,190.3,48.98,47.82,7.63,17.01,-9.87,42.25,2.02
Beijing,China,2023-09-26,24.42,27.61,80.87,7.9,8.81,178.55,-6.79,76.42,17.46
Beijing,China,2023-02-25,7.6,196.59,9.5,20.82,0.54,166.83,-4.26,91.87,19.01
Beijing,China,2023-03-04,24.67,16.38,54.06,23.47,3.87,169.69,-5.07,94.23,1.73
Beijing,China,2023-05-22,55.01,127.8,91.09,1.94,5.76,171.33,36.33,98.17,9.73
Beijing,China,2023-10-02,52.15,27.14,15.44,14.08,3.35,131.73,-6.09,46.01,4.4
Beijing,China,2023-10-14,45.14,37.19,36.57,21.77,3.34,192.67,39.97,15.48,9.27
Beijing,China,2023-11-24,85.65,103.2,93.41,33.43,5.95,190.17,16.84,82.18,13.15
Beijing,China,2023-04-06,100.29,77.47,69.51,27.12,4.93,160.08,33.88,15.11,11.8
Beijing,China,2023-08-07,7.96,11.0,41.37,22.04,8.96,99.41,-5.04,41.01,11.7
Beijing,China,2023-10-19,78.02,13.84,41.82,48.82,0.96,78.05,10.53,97.11,19.99
Beijing,China,2023-04-09,143.31,172.3,55.85,49.03,2.94,109.48,-5.93,68.34,15.35
Beijing,China,2023-09-01,99.54,132.13,48.01,36.05,5.44,80.44,0.99,10.95,11.16
Beijing,China,2023-01-17,18.45,111.33,36.23,17.15,8.24,48.51,34.68,50.15,5.75
Beijing,China,2023-05-10,66.78,164.26,88.24,37.28,5.31,59.26,18.39,11.31,9.43
Beijing,China,2023-01-02,87.81,10.42,55.72,43.98,3.24,35.99,-4.04,77.73,6.78
Beijing,China,2023-12-04,140.69,22.72,64.24,20.26,4.32,126.61,14.02,11.8,10.38
Beijing,China,2023-10-15,109.94,22.29,73.01,2.39,1.76,99.74,39.46,87.23,8.92
Beijing,China,2023-10-04,116.1,41.62,31.3,19.58,9.07,175.14,-1.72,24.73,1.56
Beijing,China,2023-08-26,132.55,118.92,62.0,39.99,7.84,172.77,19.55,81.34,5.78
Beijing,China,2023-11-08,19.21,194.36,93.75,15.48,3.44,191.55,5.98,90.34,14.57
Beijing,China,2023-08-04,142.02,117.14,53.72,7.04,9.63,109.72,5.95,51.45,17.97
Beijing,China,2023-06-20,142.26,55.56,40.04,25.71,8.86,179.36,35.78,95.04,15.18
Beijing,China,2023-09-20,28.02,146.12,9.11,15.44,7.65,106.19,0.15,56.28,5.58
Beijing,China,2023-11-19,66.7,59.68,58.59,40.54,0.84,54.07,27.86,42.47,0.8
Beijing,China,2023-08-20,36.82,178.11,78.62,24.29,2.22,190.15,-7.4,71.52,18.79
Beijing,China,2023-11-22,144.31,152.63,24.04,44.94,7.58,104.18,5.88,21.11,17.65
Beijing,China,2023-01-24,62.31,169.48,10.56,17.94,9.53,44.44,17.13,15.13,4.63
Beijing,China,2023-02-01,19.03,75.3,57.95,5.63,8.05,184.0,23.85,91.48,1.14
Beijing,China,2023-01-10,22.67,25.9,8.56,10.67,9.43,37.84,35.15,83.55,8.93
Beijing,China,2023-02-23,112.42,180.93,27.48,1.94,6.38,179.17,13.87,51.59,12.07
Beijing,China,2023-02-03,95.37,19.18,70.18,48.11,2.99,23.32,17.06,84.69,6.04
Beijing,China,2023-08-26,10.66,11.49,18.7,1.68,8.53,47.57,-8.47,26.08,12.51
Beijing,China,2023-08-23,82.61,122.62,34.0,14.74,1.95,182.76,30.15,86.84,5.8
Beijing,China,2023-10-18,148.88,146.9,48.83,42.41,8.91,160.77,-9.46,63.98,14.86
Beijing,China,2023-08-02,145.74,160.02,32.05,35.33,2.59,49.49,19.45,79.74,19.37
